,feature,importance
242,interevent_time__allweek__day__text__kurtosis,0
243,interevent_time__allweek__day__text__min,0
244,interevent_time__allweek__night__call__mean,0
245,interevent_time__allweek__night__call__kurtosis,9
246,interevent_time__allweek__night__text__mean,0
247,interevent_time__allweek__night__text__median,0
248,interevent_time__allweek__night__text__kurtosis,0
249,interevent_time__allweek__night__text__max,0
250,interevent_time__weekday__allday__call__skewness,2
251,interevent_time__weekday__allday__call__max,0
252,interevent_time__weekday__allday__text__mean,0
253,interevent_time__weekday__allday__text__std,1
254,interevent_time__weekday__allday__text__skewness,0
255,interevent_time__weekday__allday__text__kurtosis,0
256,interevent_time__weekday__day__call__mean,2
257,interevent_time__weekday__day__call__kurtosis,0
258,interevent_time__weekday__day__call__min,0
259,interevent_time__weekday__day__text__mean,0
260,interevent_time__weekday__day__text__kurtosis,0
261,interevent_time__weekday__day__text__min,0
262,interevent_time__weekday__night__call__median,0
263,interevent_time__weekday__night__call__kurtosis,0
264,interevent_time__weekday__night__call__min,0
265,interevent_time__weekday__night__call__max,0
266,interevent_time__weekday__night__text__median,0
267,interevent_time__weekday__night__text__kurtosis,1
268,interevent_time__weekday__night__text__min,0
269,interevent_time__weekday__night__text__max,0
270,interevent_time__weekend__allday__call__median,1
271,interevent_time__weekend__allday__call__skewness,0
272,interevent_time__weekend__allday__text__skewness,0
273,interevent_time__weekend__allday__text__kurtosis,0
274,interevent_time__weekend__day__call__mean,0
275,interevent_time__weekend__day__text__mean,0
276,interevent_time__weekend__day__text__std,2
277,interevent_time__weekend__day__text__median,0
278,interevent_time__weekend__day__text__skewness,0
279,interevent_time__weekend__day__text__kurtosis,0
280,interevent_time__weekend__day__text__min,5
281,interevent_time__weekend__night__call__std,0
282,interevent_time__weekend__night__call__skewness,0
283,interevent_time__weekend__night__call__max,0
284,interevent_time__weekend__night__text__median,0
285,interevent_time__weekend__night__text__max,1
286,percent_pareto_interactions__allweek__allday__text,0
287,percent_pareto_interactions__allweek__day__call,1
288,percent_pareto_interactions__allweek__night__call,0
289,percent_pareto_interactions__allweek__night__text,0
290,percent_pareto_interactions__weekday__night__call,0
291,percent_pareto_interactions__weekday__night__text,0
292,percent_pareto_interactions__weekend__day__call,0
293,percent_pareto_interactions__weekend__day__text,0
294,percent_pareto_interactions__weekend__night__call,0
295,percent_pareto_interactions__weekend__night__text,0
296,percent_pareto_durations__weekday__allday__call,1
297,percent_pareto_durations__weekday__day__call,0
298,percent_pareto_durations__weekday__night__call,2
299,percent_pareto_durations__weekend__night__call,0
300,number_of_interactions__allweek__day__call,0
301,number_of_interactions__allweek__day__text,0
302,number_of_interactions__weekday__allday__call,0
303,number_of_interactions__weekday__day__call,0
304,number_of_interactions__weekday__day__text,0
305,number_of_interactions__weekday__night__text,0
306,number_of_interactions__weekend__allday__call,0
307,number_of_interactions__weekend__day__call,0
308,number_of_interaction_in__allweek__allday__call,1
309,number_of_interaction_in__allweek__day__text,4
310,number_of_interaction_in__allweek__night__text,0
311,number_of_interaction_in__weekday__allday__text,6
312,number_of_interaction_in__weekday__day__call,2
313,number_of_interaction_in__weekday__day__text,0
314,number_of_interaction_in__weekday__night__text,0
315,number_of_interaction_in__weekend__allday__call,0
316,number_of_interaction_in__weekend__day__call,0
317,number_of_interaction_in__weekend__day__text,0
318,number_of_interaction_out__allweek__allday__call,0
319,number_of_interaction_out__allweek__allday__text,0
320,number_of_interaction_out__allweek__day__call,2
321,number_of_interaction_out__allweek__day__text,1
322,number_of_interaction_out__allweek__night__text,0
323,number_of_interaction_out__weekday__allday__call,0
324,number_of_interaction_out__weekday__day__call,0
325,number_of_interaction_out__weekday__day__text,0
326,number_of_interaction_out__weekday__night__call,1
327,number_of_interaction_out__weekend__allday__call,0
328,number_of_interaction_out__weekend__day__call,0
329,number_of_interaction_out__weekend__night__text,0
330,number_of_antennas__allweek__allday,0
331,number_of_antennas__allweek__day,0
332,number_of_antennas__allweek__night,0
333,number_of_antennas__weekday__allday,1
334,number_of_antennas__weekday__day,1
335,number_of_antennas__weekday__night,0
336,number_of_antennas__weekend__night,0
337,entropy_of_antennas__allweek__allday,0
338,entropy_of_antennas__weekday__day,1
339,entropy_of_antennas__weekday__night,0
340,entropy_of_antennas__weekend__night,0
341,percent_at_home__weekday__allday,0
342,percent_at_home__weekday__day,0
343,percent_at_home__weekend__night,1
344,radius_of_gyration__allweek__allday,0
345,radius_of_gyration__allweek__night,0
346,radius_of_gyration__weekday__day,3
347,radius_of_gyration__weekday__night,0
348,radius_of_gyration__weekend__allday,0
349,radius_of_gyration__weekend__day,0
350,radius_of_gyration__weekend__night,0
351,frequent_antennas__weekday__day,0
352,frequent_antennas__weekday__night,0
353,frequent_antennas__weekend__day,0
354,frequent_antennas__weekend__night,0
355,churn_rate__std,0
356,amount_recharges__allweek__allday__median,0
357,amount_recharges__allweek__allday__skewness,0
358,amount_recharges__allweek__day__mean,0
359,amount_recharges__allweek__day__std,0
360,amount_recharges__allweek__day__skewness,1
361,amount_recharges__allweek__day__kurtosis,0
362,amount_recharges__allweek__day__max,0
363,amount_recharges__allweek__night__std,0
364,amount_recharges__allweek__night__median,0
365,amount_recharges__allweek__night__min,0
366,amount_recharges__weekday__allday__mean,0
367,amount_recharges__weekday__allday__std,0
368,amount_recharges__weekday__day__std,0
